date,ticker,model_name,prediction_date,target_date,horizon,horizon_days,actual_return,predicted_return,absolute_error,pct_error,entry_date,actual_net_trade_return,actual_profit_label,predicted_profit_label,predicted_profit_probability,actual_return_combined,predicted_return_combined,actual_profit_label_combined,predicted_profit_label_combined,predicted_profit_probability_combined,ranking_group,normalized_predicted_return,return_strength,profit_confidence,combined_score,gated_valid_signal,return_only_signal_label,probability_only_signal_label,combined_signal_label,return_rank_score,profit_probability_rank_score,rank_based_joint_score,benchmark_date,close,m_ret,market_return_lookback,market_volatility_lookback,regime,benchmark_stale_days,benchmark_data_available
2024-12-25,DGC,lightgbm,2024-11-27,2024-12-25,20d,20,0.1131614918961141,-0.0376103612265738,0.1507718531226879,133.23600687511376,2024-11-28,0.1043183135265353,1,0,0.1998265272437704,0.1131614918961141,-0.0376103612265738,1,0,0.1998265272437704,2024-12-25,0.3785814397198191,0.3785814397198191,0.1998265272437704,0.2892039834817947,False,reject,reject,reject,0.3636363636363636,0.3636363636363636,0.3636363636363636,2024-11-27,1241.97,-0.00012881099401840235,-0.01323661441408519,0.007043296496131292,sideway,0,True
2024-12-25,HPG,lightgbm,2024-11-27,2024-12-25,20d,20,0.0319343065693429,-0.1308248800516757,0.1627591866210186,509.66876724753496,2024-11-28,0.0191566359845805,1,0,0.0374816847201743,0.0319343065693429,-0.1308248800516757,1,0,0.0374816847201743,2024-12-25,0.008729109927216,0.008729109927216,0.0374816847201743,0.0231053973236951,False,reject,reject,reject,0.0909090909090909,0.1818181818181817,0.1363636363636363,2024-11-27,1241.97,-0.00012881099401840235,-0.01323661441408519,0.007043296496131292,sideway,0,True
2024-12-25,MWG,lightgbm,2024-11-27,2024-12-25,20d,20,0.0331929233361414,-0.006248557907989,0.0394414812441304,118.8249701441193,2024-11-28,0.0244323199890559,1,0,0.1222177521745267,0.0331929233361414,-0.006248557907989,1,0,0.1222177521745267,2024-12-25,0.5030173770617217,0.5030173770617217,0.1222177521745267,0.3126175646181242,False,reject,reject,reject,0.5454545454545454,0.2727272727272727,0.409090909090909,2024-11-27,1241.97,-0.00012881099401840235,-0.01323661441408519,0.007043296496131292,sideway,0,True
2024-12-25,ACB,xgboost,2024-11-27,2024-12-25,20d,20,0.0157668418537983,-7.505889516323805e-05,0.0158419007489616,100.47605535629287,2024-11-28,0.0048405070591814,1,1,0.6601331233978271,0.0157668418537983,-7.505889516323805e-05,1,1,0.6601331233978271,2024-12-25,0.5007734775520359,0.5007734775520359,0.6601331233978271,0.5804533004749315,False,reject,strong_positive,weak_or_uncertain,0.6363636363636364,0.7272727272727273,0.6818181818181819,2024-11-27,1241.97,-0.00012881099401840235,-0.01323661441408519,0.007043296496131292,sideway,0,True
2024-12-25,DGC,xgboost,2024-11-27,2024-12-25,20d,20,0.1131614918961141,0.0186981577426195,0.0944633341534946,83.47657190682408,2024-11-28,0.1043183135265353,1,0,0.3496904373168945,0.1131614918961141,0.0186981577426195,1,0,0.3496904373168945,2024-12-25,0.5865434162877813,0.5865434162877813,0.3496904373168945,0.4681169268023378,False,moderate_positive,reject,weak_or_uncertain,0.7272727272727273,0.5454545454545454,0.6363636363636364,2024-11-27,1241.97,-0.00012881099401840235,-0.01323661441408519,0.007043296496131292,sideway,0,True
2024-12-25,HPG,xgboost,2024-11-27,2024-12-25,20d,20,0.0319343065693429,-0.0956835523247718,0.1276178588941148,399.6262095655727,2024-11-28,0.0191566359845805,1,0,0.400637686252594,0.0319343065693429,-0.0956835523247718,1,0,0.400637686252594,2024-12-25,0.0639631651641971,0.0639631651641971,0.400637686252594,0.2323004257083956,False,reject,reject,reject,0.2727272727272727,0.6363636363636364,0.4545454545454545,2024-11-27,1241.97,-0.00012881099401840235,-0.01323661441408519,0.007043296496131292,sideway,0,True
2024-12-25,MWG,xgboost,2024-11-27,2024-12-25,20d,20,0.0331929233361414,-0.0202337726950645,0.0534266960312059,160.9580918503596,2024-11-28,0.0244323199890559,1,0,0.3280642330646515,0.0331929233361414,-0.0202337726950645,1,0,0.3280642330646515,2024-12-25,0.4086735630318374,0.4086735630318374,0.3280642330646515,0.3683688980482444,False,reject,reject,reject,0.4545454545454546,0.4545454545454546,0.4545454545454546,2024-11-27,1241.97,-0.00012881099401840235,-0.01323661441408519,0.007043296496131292,sideway,0,True
2024-12-26,ACB,cart,2024-11-28,2024-12-26,20d,20,0.0161827701094716,0.1222292590246991,0.1060464889152275,655.3049212085093,2024-11-29,0.0090943003628187,1,1,1.0,0.0161827701094716,0.1222292590246991,1,1,1.0,2024-12-26,0.8610324652033072,0.8610324652033072,1.0,0.9305162326016536,True,strong_positive,strong_positive,strong_positive,1.0,1.0,1.0,2024-11-28,1242.11,0.00011272413987439833,-0.017691066683538037,0.006936199156188984,sideway,0,True
2024-12-26,DGC,cart,2024-11-28,2024-12-26,20d,20,0.0918693671867429,-0.1758921330089212,0.2677615001956642,291.45895786066,2024-11-29,0.0813188439861278,1,0,0.0,0.0918693671867429,-0.1758921330089212,1,0,0.0,2024-12-26,0.0709860352972012,0.0709860352972012,0.0,0.0354930176486006,False,reject,reject,reject,0.0,0.0909090909090909,0.0454545454545454,2024-11-28,1242.11,0.00011272413987439833,-0.017691066683538037,0.006936199156188984,sideway,0,True
2024-12-26,HPG,cart,2024-11-28,2024-12-26,20d,20,0.0227272727272727,-0.0926294820717131,0.1153567547989858,507.5697211155384,2024-11-29,0.0137499694806833,1,0,0.0,0.0227272727272727,-0.0926294820717131,1,0,0.0,2024-12-26,0.2916389702266111,0.2916389702266111,0.0,0.1458194851133055,False,reject,reject,reject,0.0909090909090909,0.0909090909090909,0.0909090909090909,2024-11-28,1242.11,0.00011272413987439833,-0.017691066683538037,0.006936199156188984,sideway,0,True
