step_size,ticker,horizon,model_name,total_return,cagr,sharpe,sortino,max_drawdown,turnover,win_rate,observations
2,DGC,long_3m,cart,-0.7496034114534251,-0.6725694010989225,-1.219969590860657,-0.9537189829290481,-0.8258840056472115,6.0,0.25,122
2,DGC,long_3m,stacking_final,-0.9999996396699183,-0.9999936199644084,-10.640177379466811,-14.046549118752198,-0.9999996396699183,3.0,0.027777777777777776,122
2,DGC,long_6m,cart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90
2,DGC,long_6m,stacking_final,-0.9997647496300496,-0.998830706443183,-6.2282080106134625,-9.801589553321019,-0.9997647496300496,1.0,0.0,90
2,DGC,short_10d,cart,-0.4318149269834193,-0.3667002639623843,-0.32141045009382063,-0.17589332095688967,-0.8068615640771848,28.0,0.5714285714285714,148
2,DGC,short_10d,stacking_final,-0.9822391968956982,-0.961502360356326,-3.0059210249126465,-2.6453409548862106,-0.983742684730562,7.0,0.42727272727272725,148
2,DGC,short_20d,cart,-0.931620020228751,-0.8855712989451601,-2.0372583456098465,-1.3721322084637246,-0.9740800933632725,20.0,0.4090909090909091,143
2,DGC,short_20d,stacking_final,-0.9694936279495828,-0.9403962521884808,-2.2512187400976247,-1.720780531402486,-0.9720980325036123,9.0,0.4827586206896552,143
2,DGC,short_30d,cart,0.0993845623571703,0.07957296385020984,0.5467855948727776,0.5250334983219438,-0.7746553495065946,18.0,0.5,138
2,DGC,short_30d,stacking_final,-0.9993858237721923,-0.9974607868553647,-4.583623577339063,-5.054325865929719,-0.9994357243088076,3.0,0.2619047619047619,138
2,DGC,short_5d,cart,-0.7267587197577348,-0.6486886816324314,-1.7412391391909452,-1.117327996641616,-0.7217401135386631,18.0,0.42857142857142855,151
2,DGC,short_5d,stacking_final,-0.8003380315389715,-0.7272064086055386,-2.0654070306591255,-1.9046598318392212,-0.8003380315389715,12.0,0.38823529411764707,151
2,FPT,long_3m,cart,0.14169054616696064,0.11275814896285286,0.5280724471280837,0.663990522691833,-0.5102888749793648,8.0,0.375,122
2,FPT,long_3m,stacking_final,-0.9380030834452131,-0.8937574708931051,-3.5264713996577477,-3.352293016497269,-0.9380030834452131,1.0,0.32075471698113206,122
2,FPT,long_6m,cart,-0.8008282862596245,-0.728529128918359,-3.936350071298088,-2.7858796785944824,-0.8008282862596245,7.0,0.0625,90
2,FPT,long_6m,stacking_final,-0.9887972732273783,-0.9734718568244842,-6.512304659136648,-6.394494325372368,-0.9887972732273783,5.0,0.0975609756097561,90
2,FPT,short_10d,cart,-0.8685163322603253,-0.805919392417222,-2.713736126210174,-3.401348475532944,-0.8685163322603253,17.0,0.3020833333333333,148
2,FPT,short_10d,stacking_final,-0.9632888476293294,-0.9307772512950071,-4.6996567806749505,-5.693891452922559,-0.9632888476293294,9.0,0.2268041237113402,148
2,FPT,short_20d,cart,-0.3240769103540413,-0.27130765247837785,-0.1877338017624568,-0.15823028558835603,-0.8083435158471973,24.0,0.47761194029850745,143
2,FPT,short_20d,stacking_final,-0.991750189559729,-0.979282850509417,-4.150512962108318,-4.850167993248087,-0.991750189559729,7.0,0.29473684210526313,143
2,FPT,short_30d,cart,-0.6983928095673504,-0.6203794366363784,-1.051387426530065,-0.8619132802755681,-0.799537352977737,20.0,0.5151515151515151,138
2,FPT,short_30d,stacking_final,-0.9931418368771213,-0.9821559616515988,-4.223383493598488,-4.310168116402249,-0.9931418368771213,3.0,0.3253012048192771,138
2,FPT,short_5d,cart,-0.4763055353266108,-0.40639849050472043,-1.1219819624704213,-1.248870601118271,-0.49948416192795875,35.0,0.3918918918918919,151
