horizon,regime,model_name,ranking_method,score_column,top_k,return_threshold,probability_threshold,groups_covered,observations,average_actual_return,profit_rate,precision_at_top_k,recall_of_profitable_cases,lift_vs_regime_base_rate
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,1,0.005,0.65,2,2,0.0875014792315884,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,1,0.01,0.5,3,3,0.059568887388960164,0.6666666666666666,0.6666666666666666,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,1,0.01,0.55,2,2,0.0875014792315884,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,1,0.01,0.6,2,2,0.0875014792315884,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,1,0.01,0.65,2,2,0.0875014792315884,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,1,0.02,0.5,3,3,0.059568887388960164,0.6666666666666666,0.6666666666666666,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,1,0.02,0.55,2,2,0.0875014792315884,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,1,0.02,0.6,2,2,0.0875014792315884,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,1,0.02,0.65,2,2,0.0875014792315884,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.0,0.5,10,11,0.024414531095789494,0.2727272727272727,0.2727272727272727,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.0,0.55,6,6,0.04892810751515051,0.5,0.5,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.0,0.6,4,4,0.0624256918447179,0.75,0.75,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.0,0.65,3,3,0.09159976415846553,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.005,0.5,6,6,0.02501777435362287,0.3333333333333333,0.3333333333333333,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.005,0.55,3,3,0.049968811122217266,0.6666666666666666,0.6666666666666666,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.005,0.6,3,3,0.049968811122217266,0.6666666666666666,0.6666666666666666,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.005,0.65,2,2,0.0875014792315884,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.01,0.5,3,3,0.059568887388960164,0.6666666666666666,0.6666666666666666,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.01,0.55,2,2,0.0875014792315884,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.01,0.6,2,2,0.0875014792315884,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.01,0.65,2,2,0.0875014792315884,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.02,0.5,3,3,0.059568887388960164,0.6666666666666666,0.6666666666666666,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.02,0.55,2,2,0.0875014792315884,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.02,0.6,2,2,0.0875014792315884,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,3,0.02,0.65,2,2,0.0875014792315884,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,5,0.0,0.5,10,11,0.024414531095789494,0.2727272727272727,0.2727272727272727,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,5,0.0,0.55,6,6,0.04892810751515051,0.5,0.5,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,5,0.0,0.6,4,4,0.0624256918447179,0.75,0.75,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,5,0.0,0.65,3,3,0.09159976415846553,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,5,0.005,0.5,6,6,0.02501777435362287,0.3333333333333333,0.3333333333333333,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,5,0.005,0.55,3,3,0.049968811122217266,0.6666666666666666,0.6666666666666666,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,5,0.005,0.6,3,3,0.049968811122217266,0.6666666666666666,0.6666666666666666,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,5,0.005,0.65,2,2,0.0875014792315884,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,5,0.01,0.5,3,3,0.059568887388960164,0.6666666666666666,0.6666666666666666,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,5,0.01,0.55,2,2,0.0875014792315884,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,5,0.01,0.6,2,2,0.0875014792315884,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,5,0.01,0.65,2,2,0.0875014792315884,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,5,0.02,0.5,3,3,0.059568887388960164,0.6666666666666666,0.6666666666666666,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,5,0.02,0.55,2,2,0.0875014792315884,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,5,0.02,0.6,2,2,0.0875014792315884,1.0,1.0,1.0,1.0
3d,bear,xgboost,combined_weighted_linear_gated,combined_score,5,0.02,0.65,2,2,0.0875014792315884,1.0,1.0,1.0,1.0
3d,bear,xgboost,predicted_profit_probability,predicted_profit_probability,1,,,26,26,-0.008375922058890635,0.38461538461538464,0.38461538461538464,0.19230769230769232,0.7692307692307693
3d,bear,xgboost,predicted_profit_probability,predicted_profit_probability,3,,,26,78,0.00038853816008531665,0.48717948717948717,0.48717948717948717,0.7307692307692307,0.9743589743589743
3d,bear,xgboost,predicted_profit_probability,predicted_profit_probability,5,,,26,104,-0.0009285415859085852,0.5,0.5,1.0,1.0
3d,bear,xgboost,predicted_return,predicted_return,1,,,26,26,0.009106899602420233,0.46153846153846156,0.46153846153846156,0.23076923076923078,0.9230769230769231
3d,bear,xgboost,predicted_return,predicted_return,3,,,26,78,0.0013244861827293366,0.48717948717948717,0.48717948717948717,0.7307692307692307,0.9743589743589743
3d,bear,xgboost,predicted_return,predicted_return,5,,,26,104,-0.0009285415859085838,0.5,0.5,1.0,1.0
3d,bull,cart,combined_rank_based,rank_based_joint_score,1,,,18,18,-0.006144595396143567,0.3888888888888889,0.3888888888888889,0.25,1.0
3d,bull,cart,combined_rank_based,rank_based_joint_score,3,,,18,54,0.0012263638791330188,0.35185185185185186,0.35185185185185186,0.6785714285714286,0.9047619047619048
3d,bull,cart,combined_rank_based,rank_based_joint_score,5,,,18,72,0.004543740460996374,0.3888888888888889,0.3888888888888889,1.0,1.0
3d,bull,cart,combined_weighted_linear,combined_score,1,,,18,18,-0.006144595396143567,0.3888888888888889,0.3888888888888889,0.25,1.0
3d,bull,cart,combined_weighted_linear,combined_score,3,,,18,54,0.00014650474870218303,0.35185185185185186,0.35185185185185186,0.6785714285714286,0.9047619047619048
3d,bull,cart,combined_weighted_linear,combined_score,5,,,18,72,0.004543740460996374,0.3888888888888889,0.3888888888888889,1.0,1.0
3d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.0,0.5,4,4,-0.04153927429095472,0.0,0.0,,
