horizon,regime,model_name,ranking_method,score_column,top_k,return_threshold,probability_threshold,groups_covered,observations,average_actual_return,profit_rate,precision_at_top_k,recall_of_profitable_cases,lift_vs_regime_base_rate
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,1,0.005,0.65,27,27,-0.01148134614235011,0.2962962962962963,0.2962962962962963,0.8888888888888888,1.382716049382716
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,1,0.01,0.5,29,29,-0.011291455607185478,0.27586206896551724,0.27586206896551724,0.8,1.379310344827586
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,1,0.01,0.55,29,29,-0.011291455607185478,0.27586206896551724,0.27586206896551724,0.8,1.3517241379310345
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,1,0.01,0.6,27,27,-0.01132053044532673,0.2962962962962963,0.2962962962962963,0.8,1.3037037037037036
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,1,0.01,0.65,25,25,-0.011861255717981998,0.32,0.32,0.8888888888888888,1.4222222222222223
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,1,0.02,0.5,26,26,-0.00925695532970073,0.3076923076923077,0.3076923076923077,0.8888888888888888,1.4358974358974361
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,1,0.02,0.55,26,26,-0.00925695532970073,0.3076923076923077,0.3076923076923077,0.8888888888888888,1.4358974358974361
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,1,0.02,0.6,24,24,-0.009120122832819242,0.3333333333333333,0.3333333333333333,0.8888888888888888,1.4074074074074074
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,1,0.02,0.65,23,23,-0.009894453562552908,0.34782608695652173,0.34782608695652173,1.0,1.565217391304348
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,3,0.0,0.5,31,61,-0.013693990700338898,0.21311475409836064,0.21311475409836064,0.8666666666666667,0.8950819672131147
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,3,0.0,0.55,31,56,-0.014983995733096464,0.19642857142857142,0.19642857142857142,0.8461538461538461,0.8763736263736264
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,3,0.0,0.6,30,48,-0.014212290138541271,0.22916666666666666,0.22916666666666666,0.9166666666666666,0.9357638888888888
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,3,0.0,0.65,27,43,-0.014021093316187299,0.23255813953488372,0.23255813953488372,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,3,0.005,0.5,31,58,-0.014314831038467627,0.20689655172413793,0.20689655172413793,0.9230769230769231,0.9389920424403183
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,3,0.005,0.55,31,55,-0.014795741154755751,0.2,0.2,0.9166666666666666,0.9333333333333335
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,3,0.005,0.6,30,48,-0.014212290138541271,0.22916666666666666,0.22916666666666666,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,3,0.005,0.65,27,42,-0.015078867095272836,0.21428571428571427,0.21428571428571427,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,3,0.01,0.5,29,50,-0.014908581323452746,0.2,0.2,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,3,0.01,0.55,29,49,-0.014885674717386485,0.20408163265306123,0.20408163265306123,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,3,0.01,0.6,27,44,-0.014799772925479838,0.22727272727272727,0.22727272727272727,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,3,0.01,0.65,25,40,-0.0154961866276889,0.225,0.225,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,3,0.02,0.5,26,42,-0.014569022190318123,0.21428571428571427,0.21428571428571427,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,3,0.02,0.55,26,42,-0.014569022190318123,0.21428571428571427,0.21428571428571427,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,3,0.02,0.6,24,38,-0.014753936816404262,0.23684210526315788,0.23684210526315788,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,3,0.02,0.65,23,36,-0.016197375102917418,0.2222222222222222,0.2222222222222222,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,5,0.0,0.5,31,63,-0.012456122533697772,0.23809523809523808,0.23809523809523808,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,5,0.0,0.55,31,58,-0.013594931861304982,0.22413793103448276,0.22413793103448276,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,5,0.0,0.6,30,49,-0.013301724923358687,0.24489795918367346,0.24489795918367346,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,5,0.0,0.65,27,43,-0.014021093316187299,0.23255813953488372,0.23255813953488372,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,5,0.005,0.5,31,59,-0.013729964280318894,0.22033898305084745,0.22033898305084745,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,5,0.005,0.55,31,56,-0.014170954568201043,0.21428571428571427,0.21428571428571427,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,5,0.005,0.6,30,48,-0.014212290138541271,0.22916666666666666,0.22916666666666666,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,5,0.005,0.65,27,42,-0.015078867095272836,0.21428571428571427,0.21428571428571427,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,5,0.01,0.5,29,50,-0.014908581323452746,0.2,0.2,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,5,0.01,0.55,29,49,-0.014885674717386485,0.20408163265306123,0.20408163265306123,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,5,0.01,0.6,27,44,-0.014799772925479838,0.22727272727272727,0.22727272727272727,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,5,0.01,0.65,25,40,-0.0154961866276889,0.225,0.225,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,5,0.02,0.5,26,42,-0.014569022190318123,0.21428571428571427,0.21428571428571427,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,5,0.02,0.55,26,42,-0.014569022190318123,0.21428571428571427,0.21428571428571427,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,5,0.02,0.6,24,38,-0.014753936816404262,0.23684210526315788,0.23684210526315788,1.0,1.0
5d,sideway,lightgbm,combined_weighted_linear_gated,combined_score,5,0.02,0.65,23,36,-0.016197375102917418,0.2222222222222222,0.2222222222222222,1.0,1.0
5d,sideway,lightgbm,predicted_profit_probability,predicted_profit_probability,1,,,33,33,-0.01408572887824964,0.18181818181818182,0.18181818181818182,0.15384615384615385,0.6153846153846154
5d,sideway,lightgbm,predicted_profit_probability,predicted_profit_probability,3,,,33,99,-0.009119420794399041,0.2727272727272727,0.2727272727272727,0.6923076923076923,0.9230769230769229
5d,sideway,lightgbm,predicted_profit_probability,predicted_profit_probability,5,,,33,132,-0.006694518817801491,0.29545454545454547,0.29545454545454547,1.0,1.0
5d,sideway,lightgbm,predicted_return,predicted_return,1,,,33,33,-0.011158276679751474,0.24242424242424243,0.24242424242424243,0.20512820512820512,0.8205128205128205
5d,sideway,lightgbm,predicted_return,predicted_return,3,,,33,99,-0.011098208988590463,0.21212121212121213,0.21212121212121213,0.5384615384615384,0.717948717948718
5d,sideway,lightgbm,predicted_return,predicted_return,5,,,33,132,-0.006694518817801491,0.29545454545454547,0.29545454545454547,1.0,1.0
5d,sideway,xgboost,combined_rank_based,rank_based_joint_score,1,,,33,33,-0.015171096667095296,0.21212121212121213,0.21212121212121213,0.1794871794871795,0.717948717948718
5d,sideway,xgboost,combined_rank_based,rank_based_joint_score,3,,,33,99,-0.009471583740885423,0.25252525252525254,0.25252525252525254,0.6410256410256411,0.8547008547008547
5d,sideway,xgboost,combined_rank_based,rank_based_joint_score,5,,,33,132,-0.006694518817801491,0.29545454545454547,0.29545454545454547,1.0,1.0
5d,sideway,xgboost,combined_weighted_linear,combined_score,1,,,33,33,-0.014888268384267014,0.21212121212121213,0.21212121212121213,0.1794871794871795,0.717948717948718
5d,sideway,xgboost,combined_weighted_linear,combined_score,3,,,33,99,-0.009738606833040097,0.23232323232323232,0.23232323232323232,0.5897435897435898,0.7863247863247863
5d,sideway,xgboost,combined_weighted_linear,combined_score,5,,,33,132,-0.006694518817801491,0.29545454545454547,0.29545454545454547,1.0,1.0
5d,sideway,xgboost,combined_weighted_linear_gated,combined_score,1,0.0,0.5,32,32,-0.01584645899401669,0.1875,0.1875,0.5454545454545454,0.9886363636363636
5d,sideway,xgboost,combined_weighted_linear_gated,combined_score,1,0.0,0.55,32,32,-0.01584645899401669,0.1875,0.1875,0.6666666666666666,1.0833333333333333
5d,sideway,xgboost,combined_weighted_linear_gated,combined_score,1,0.0,0.6,28,28,-0.019858719313566555,0.14285714285714285,0.14285714285714285,0.8,1.2857142857142858
5d,sideway,xgboost,combined_weighted_linear_gated,combined_score,1,0.0,0.65,23,23,-0.023852717645490594,0.17391304347826086,0.17391304347826086,0.8,1.2869565217391303
