model_name,ranking_method,score_column,top_k,ranking_group_mode,return_threshold,probability_threshold,groups_covered,observations,coverage_ratio,average_actual_return,median_actual_return,profit_rate,precision_at_top_k,recall_of_profitable_cases,lift_vs_base_rate
lightgbm,combined_rank_based,rank_based_joint_score,3,date,,,36,108,1.0,-0.004324565413876599,-0.00229128206910605,0.28703703703703703,0.28703703703703703,0.7560975609756098,1.008130081300813
lightgbm,combined_rank_based,rank_based_joint_score,5,date,,,36,144,0.8,-0.003275472408727245,-0.0018868075660983,0.2847222222222222,0.2847222222222222,1.0,1.0
lightgbm,combined_weighted_linear,combined_score,1,date,,,36,36,1.0,-0.007458106613367831,-0.00532132184204325,0.3055555555555556,0.3055555555555556,0.2682926829268293,1.0731707317073171
lightgbm,combined_weighted_linear,combined_score,3,date,,,36,108,1.0,-0.005368301340225924,-0.0041705318491032,0.25,0.25,0.6585365853658537,0.8780487804878049
lightgbm,combined_weighted_linear,combined_score,5,date,,,36,144,0.8,-0.0032754724087272445,-0.0018868075660983,0.2847222222222222,0.2847222222222222,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,1,date,0.0,0.5,23,23,1.0,-0.012027471080778897,-0.0128888888888888,0.2608695652173913,0.2608695652173913,0.5454545454545454,0.8774703557312252
lightgbm,combined_weighted_linear_gated,combined_score,1,date,0.0,0.55,20,20,1.0,-0.012983249764395147,-0.017137200531991352,0.25,0.25,0.5,0.8
lightgbm,combined_weighted_linear_gated,combined_score,1,date,0.0,0.6,19,19,1.0,-0.015177911671009833,-0.0212230215827338,0.2631578947368421,0.2631578947368421,0.625,0.9210526315789473
lightgbm,combined_weighted_linear_gated,combined_score,1,date,0.0,0.65,17,17,1.0,-0.018041603180650248,-0.0259740259740258,0.23529411764705882,0.23529411764705882,0.5714285714285714,0.8403361344537814
lightgbm,combined_weighted_linear_gated,combined_score,1,date,0.005,0.5,22,22,1.0,-0.012195064060272714,-0.01297013418506885,0.2727272727272727,0.2727272727272727,0.5454545454545454,0.8429752066115701
lightgbm,combined_weighted_linear_gated,combined_score,1,date,0.005,0.55,20,20,1.0,-0.012983249764395147,-0.017137200531991352,0.25,0.25,0.5,0.775
lightgbm,combined_weighted_linear_gated,combined_score,1,date,0.005,0.6,19,19,1.0,-0.015177911671009833,-0.0212230215827338,0.2631578947368421,0.2631578947368421,0.625,0.8881578947368421
lightgbm,combined_weighted_linear_gated,combined_score,1,date,0.005,0.65,17,17,1.0,-0.018041603180650248,-0.0259740259740258,0.23529411764705882,0.23529411764705882,0.5714285714285714,0.8067226890756302
lightgbm,combined_weighted_linear_gated,combined_score,1,date,0.01,0.5,20,20,1.0,-0.013204600219408303,-0.017137200531991352,0.3,0.3,0.6666666666666666,0.9333333333333332
lightgbm,combined_weighted_linear_gated,combined_score,1,date,0.01,0.55,18,18,1.0,-0.014192532797226067,-0.0235985237783798,0.2777777777777778,0.2777777777777778,0.625,0.8680555555555556
lightgbm,combined_weighted_linear_gated,combined_score,1,date,0.01,0.6,16,16,1.0,-0.01836364782388534,-0.027684687405617497,0.25,0.25,0.6666666666666666,0.875
lightgbm,combined_weighted_linear_gated,combined_score,1,date,0.01,0.65,16,16,1.0,-0.01836364782388534,-0.027684687405617497,0.25,0.25,0.6666666666666666,0.8333333333333334
lightgbm,combined_weighted_linear_gated,combined_score,1,date,0.02,0.5,16,16,1.0,-0.01652643852155976,-0.0235985237783798,0.25,0.25,0.8,0.9500000000000001
lightgbm,combined_weighted_linear_gated,combined_score,1,date,0.02,0.55,16,16,1.0,-0.01652643852155976,-0.0235985237783798,0.25,0.25,0.8,0.8999999999999999
lightgbm,combined_weighted_linear_gated,combined_score,1,date,0.02,0.6,15,15,1.0,-0.017628201089663748,-0.0259740259740258,0.26666666666666666,0.26666666666666666,1.0,1.0666666666666667
lightgbm,combined_weighted_linear_gated,combined_score,1,date,0.02,0.65,15,15,1.0,-0.017628201089663748,-0.0259740259740258,0.26666666666666666,0.26666666666666666,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,3,date,0.0,0.5,23,37,0.5362318840579711,-0.012268731951089844,-0.0127248793330407,0.2972972972972973,0.2972972972972973,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,3,date,0.0,0.55,20,32,0.5333333333333333,-0.011831061419239433,-0.01297013418506885,0.3125,0.3125,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,3,date,0.0,0.6,19,28,0.49122807017543857,-0.014556311934818397,-0.017137200531991352,0.2857142857142857,0.2857142857142857,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,3,date,0.0,0.65,17,25,0.49019607843137253,-0.015560898248806942,-0.0212230215827338,0.28,0.28,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,3,date,0.005,0.5,22,34,0.5151515151515151,-0.011699615207711392,-0.0107517580872011,0.3235294117647059,0.3235294117647059,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,3,date,0.005,0.55,20,31,0.5166666666666667,-0.011080745327499373,-0.0128888888888888,0.3225806451612903,0.3225806451612903,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,3,date,0.005,0.6,19,27,0.47368421052631576,-0.013795773107841995,-0.0130513794812489,0.2962962962962963,0.2962962962962963,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,3,date,0.005,0.65,17,24,0.47058823529411764,-0.014747149831541346,-0.017137200531991352,0.2916666666666667,0.2916666666666667,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,3,date,0.01,0.5,20,28,0.4666666666666667,-0.013182507940700193,-0.017137200531991352,0.32142857142857145,0.32142857142857145,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,3,date,0.01,0.55,18,25,0.46296296296296297,-0.012593056417195946,-0.0212230215827338,0.32,0.32,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,3,date,0.01,0.6,16,21,0.4375,-0.0163718656756739,-0.0259740259740258,0.2857142857142857,0.2857142857142857,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,3,date,0.01,0.65,16,20,0.4166666666666667,-0.015346398445627152,-0.0235985237783798,0.3,0.3,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,3,date,0.02,0.5,16,19,0.3958333333333333,-0.01756943414505382,-0.0259740259740258,0.2631578947368421,0.2631578947368421,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,3,date,0.02,0.55,16,18,0.375,-0.016008991715800707,-0.0235985237783798,0.2777777777777778,0.2777777777777778,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,3,date,0.02,0.6,15,16,0.35555555555555557,-0.018831514163847818,-0.029892750691930897,0.25,0.25,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,3,date,0.02,0.65,15,15,0.3333333333333333,-0.017628201089663748,-0.0259740259740258,0.26666666666666666,0.26666666666666666,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,5,date,0.0,0.5,23,37,0.3217391304347826,-0.012268731951089844,-0.0127248793330407,0.2972972972972973,0.2972972972972973,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,5,date,0.0,0.55,20,32,0.32,-0.011831061419239433,-0.01297013418506885,0.3125,0.3125,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,5,date,0.0,0.6,19,28,0.29473684210526313,-0.014556311934818397,-0.017137200531991352,0.2857142857142857,0.2857142857142857,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,5,date,0.0,0.65,17,25,0.29411764705882354,-0.015560898248806942,-0.0212230215827338,0.28,0.28,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,5,date,0.005,0.5,22,34,0.3090909090909091,-0.011699615207711392,-0.0107517580872011,0.3235294117647059,0.3235294117647059,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,5,date,0.005,0.55,20,31,0.31,-0.011080745327499373,-0.0128888888888888,0.3225806451612903,0.3225806451612903,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,5,date,0.005,0.6,19,27,0.28421052631578947,-0.013795773107841995,-0.0130513794812489,0.2962962962962963,0.2962962962962963,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,5,date,0.005,0.65,17,24,0.2823529411764706,-0.014747149831541346,-0.017137200531991352,0.2916666666666667,0.2916666666666667,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,5,date,0.01,0.5,20,28,0.28,-0.013182507940700193,-0.017137200531991352,0.32142857142857145,0.32142857142857145,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,5,date,0.01,0.55,18,25,0.2777777777777778,-0.012593056417195946,-0.0212230215827338,0.32,0.32,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,5,date,0.01,0.6,16,21,0.2625,-0.0163718656756739,-0.0259740259740258,0.2857142857142857,0.2857142857142857,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,5,date,0.01,0.65,16,20,0.25,-0.015346398445627152,-0.0235985237783798,0.3,0.3,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,5,date,0.02,0.5,16,19,0.2375,-0.01756943414505382,-0.0259740259740258,0.2631578947368421,0.2631578947368421,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,5,date,0.02,0.55,16,18,0.225,-0.016008991715800707,-0.0235985237783798,0.2777777777777778,0.2777777777777778,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,5,date,0.02,0.6,15,16,0.21333333333333335,-0.018831514163847818,-0.029892750691930897,0.25,0.25,1.0,1.0
lightgbm,combined_weighted_linear_gated,combined_score,5,date,0.02,0.65,15,15,0.2,-0.017628201089663748,-0.0259740259740258,0.26666666666666666,0.26666666666666666,1.0,1.0
lightgbm,predicted_profit_probability,predicted_profit_probability,1,date,,,36,36,1.0,-0.0064549533259599425,-0.0053663546523358,0.2777777777777778,0.2777777777777778,0.24390243902439024,0.9756097560975611
lightgbm,predicted_profit_probability,predicted_profit_probability,3,date,,,36,108,1.0,-0.004749382748606487,-0.0035648482507369,0.26851851851851855,0.26851851851851855,0.7073170731707317,0.9430894308943091
lightgbm,predicted_profit_probability,predicted_profit_probability,5,date,,,36,144,0.8,-0.003275472408727244,-0.0018868075660983,0.2847222222222222,0.2847222222222222,1.0,1.0
lightgbm,predicted_return,predicted_return,1,date,,,36,36,1.0,-0.007746802174728895,-0.00532132184204325,0.25,0.25,0.21951219512195122,0.8780487804878049
lightgbm,predicted_return,predicted_return,3,date,,,36,108,1.0,-0.003925494988989567,-0.0030212844927108,0.28703703703703703,0.28703703703703703,0.7560975609756098,1.008130081300813
