date,ticker,horizon,model_name,actual_return,predicted_return,actual_profit_label,predicted_profit_label,predicted_profit_probability,ranking_group,normalized_predicted_return,return_strength,profit_confidence,combined_score,gated_valid_signal,return_only_signal_label,probability_only_signal_label,combined_signal_label,return_rank_score,profit_probability_rank_score,rank_based_joint_score
2024-01-25,MWG,20d,lightgbm,0.0548795036984013,-0.0791979060192819,1,0,0.0051838992470553,2024-01-25,0.21985680461988075,0.21985680461988075,0.0051838992470553,0.11252035193346803,False,reject,reject,reject,0.4545454545454546,0.2727272727272727,0.36363636363636365
2024-01-25,ACB,20d,xgboost,0.1076452599388377,-0.0087811015546321,1,0,0.0139521993696689,2024-01-25,0.3986802643509395,0.3986802643509395,0.0139521993696689,0.2063162318603042,False,reject,reject,reject,0.7272727272727273,0.4545454545454546,0.5909090909090909
2024-01-25,DGC,20d,xgboost,-0.0648285291101743,-0.1223992705345153,0,0,0.0187992714345455,2024-01-25,0.03082354260247628,0.03082354260247628,0.0187992714345455,0.024811407018510888,False,reject,reject,reject,0.09090909090909094,0.5454545454545454,0.3181818181818182
2024-01-25,HPG,20d,xgboost,0.0180780209324451,0.0809543952345848,1,1,0.9611828327178956,2024-01-25,0.6892130723492419,0.6892130723492419,0.9611828327178956,0.8251979525335688,True,strong_positive,strong_positive,strong_positive,0.8181818181818181,0.7272727272727273,0.7727272727272727
2024-01-25,MWG,20d,xgboost,0.0548795036984013,-0.06341253221035,1,0,0.0759479850530624,2024-01-25,0.22180240083776231,0.22180240083776231,0.0759479850530624,0.14887519294541235,False,reject,reject,reject,0.5454545454545454,0.6363636363636364,0.5909090909090908
2024-01-26,ACB,20d,cart,0.1073785242951408,-0.0909090909090909,1,1,1.0,2024-01-26,0.3523735002608242,0.3523735002608242,1.0,0.6761867501304121,False,reject,strong_positive,weak_or_uncertain,0.18181818181818177,0.9545454545454546,0.5681818181818181
2024-01-26,DGC,20d,cart,-0.0541804494125698,-0.142944560029372,0,0,0.0,2024-01-26,0.18128348363842892,0.18128348363842892,0.0,0.09064174181921446,False,reject,reject,reject,0.0,0.045454545454545414,0.022727272727272707
2024-01-26,HPG,20d,cart,0.0146433632498819,0.1060606060606061,1,1,1.0,2024-01-26,1.0,1.0,1.0,1.0,True,strong_positive,strong_positive,strong_positive,0.8181818181818181,0.9545454545454546,0.8863636363636364
2024-01-26,MWG,20d,cart,0.0429928741092635,-0.0827710301394512,1,0,0.0,2024-01-26,0.3791310365315801,0.3791310365315801,0.0,0.18956551826579005,False,reject,reject,reject,0.4545454545454546,0.045454545454545414,0.25
2024-01-26,ACB,20d,lightgbm,0.1073785242951408,-0.0903217723374807,1,0,0.0005545812901623,2024-01-26,0.18551562174764577,0.18551562174764577,0.0005545812901623,0.09303510151890404,False,reject,reject,reject,0.2727272727272727,0.18181818181818177,0.22727272727272724
2024-01-26,DGC,20d,lightgbm,-0.0541804494125698,-0.0596595692147015,0,0,0.0028600348332706,2024-01-26,0.2801748251742718,0.2801748251742718,0.0028600348332706,0.14151743000377118,False,reject,reject,reject,0.6363636363636364,0.2727272727272727,0.45454545454545453
2024-01-26,HPG,20d,lightgbm,0.0146433632498819,0.1145684253177931,1,1,0.9877553022018308,2024-01-26,0.8180449550871557,0.8180449550871557,0.9877553022018308,0.9029001286444933,True,strong_positive,strong_positive,strong_positive,1.0,0.8181818181818181,0.9090909090909091
2024-01-26,MWG,20d,lightgbm,0.0429928741092635,-0.0829850925114695,1,0,0.0040365740488086,2024-01-26,0.20816514452803853,0.20816514452803853,0.0040365740488086,0.10610085928842357,False,reject,reject,reject,0.36363636363636365,0.36363636363636365,0.36363636363636365
2024-01-26,ACB,20d,xgboost,0.1073785242951408,-0.0400359369814395,1,0,0.0076205828227102,2024-01-26,0.2974878106956727,0.2974878106956727,0.0076205828227102,0.15255419675919146,False,reject,reject,reject,0.7272727272727273,0.4545454545454546,0.5909090909090909
2024-01-26,DGC,20d,xgboost,-0.0541804494125698,-0.1319195926189422,0,0,0.0276909712702035,2024-01-26,0.0,0.0,0.0276909712702035,0.01384548563510175,False,reject,reject,reject,0.09090909090909094,0.5454545454545454,0.3181818181818182
2024-01-26,HPG,20d,xgboost,0.0146433632498819,0.1071132123470306,1,1,0.9665642380714417,2024-01-26,0.7739063638729388,0.7739063638729388,0.9665642380714417,0.8702353009721902,True,strong_positive,strong_positive,strong_positive,0.9090909090909091,0.7272727272727273,0.8181818181818181
2024-01-26,MWG,20d,xgboost,0.0429928741092635,-0.072581797838211,1,0,0.0985109657049179,2024-01-26,0.19211545881968578,0.19211545881968578,0.0985109657049179,0.14531321226230184,False,reject,reject,reject,0.5454545454545454,0.6363636363636364,0.5909090909090908
2024-01-29,ACB,20d,cart,0.0858676207513418,-0.0905971173644475,1,1,1.0,2024-01-29,0.3533992536525234,0.3533992536525234,1.0,0.6766996268262617,False,reject,strong_positive,weak_or_uncertain,0.36363636363636365,0.9545454545454546,0.6590909090909092
2024-01-29,DGC,20d,cart,-0.0477001703577513,-0.142944560029372,0,0,0.0,2024-01-29,0.18128348363842892,0.18128348363842892,0.0,0.09064174181921446,False,reject,reject,reject,0.0,0.045454545454545414,0.022727272727272707
