date,ticker,model_name,prediction_date,target_date,horizon,horizon_days,actual_return,predicted_return,absolute_error,pct_error
2023-01-13,DGC,lightgbm,2023-01-10,2023-01-13,3d,3,0.006993006993007089,0.057316514540739494,0.050323507547732405,719.6261579325634
2023-01-16,DGC,lightgbm,2023-01-11,2023-01-16,3d,3,0.0,0.030491182315768074,0.030491182315768074,
2023-01-17,DGC,lightgbm,2023-01-12,2023-01-17,3d,3,0.05020161290322589,0.017627479243018728,0.03257413366020716,64.88662769262137
2023-01-18,DGC,lightgbm,2023-01-13,2023-01-18,3d,3,0.040476190476190554,0.03171075710201958,0.008765433374170975,21.65577657148119
2023-01-19,DGC,lightgbm,2023-01-16,2023-01-19,3d,3,0.062049639711769355,0.01660329090044019,0.04544634881132917,73.24192214883894
2023-01-27,DGC,lightgbm,2023-01-17,2023-01-27,3d,3,0.003263582261470388,-0.004382491227115752,0.00764607348858614,234.28468707086444
2023-01-30,DGC,lightgbm,2023-01-18,2023-01-30,3d,3,-0.01353928299008389,0.028765027290907526,0.042304310280991415,312.45606072326655
2023-01-31,DGC,lightgbm,2023-01-19,2023-01-31,3d,3,0.0065963060686013986,0.012771761468861519,0.00617545540026012,93.61990386794604
2023-02-01,DGC,lightgbm,2023-01-27,2023-02-01,3d,3,0.017030233448143806,0.02772787702404164,0.010697643575897836,62.81560149173302
2023-02-02,DGC,lightgbm,2023-01-30,2023-02-02,3d,3,0.01198530833172251,0.02849240392435016,0.016507095592627648,137.72775080751947
2023-02-03,DGC,lightgbm,2023-01-31,2023-02-03,3d,3,-0.024714472945141286,0.030022151832322666,0.05473662477746395,221.47599464881503
2023-02-06,DGC,lightgbm,2023-02-01,2023-02-06,3d,3,-0.033301975540921847,0.03703691765811042,0.07033889319903228,211.21537703551266
2023-02-07,DGC,lightgbm,2023-02-02,2023-02-07,3d,3,-0.05921680993314238,0.0319963866802502,0.09121319661339258,154.0326078293902
2023-02-08,DGC,lightgbm,2023-02-03,2023-02-08,3d,3,-0.06469571894797477,0.042397122401718515,0.10709284134969328,165.5331188695998
2023-02-09,DGC,lightgbm,2023-02-06,2023-02-09,3d,3,-0.04826780848579226,0.0201985021263513,0.06846631061214356,141.84673545370674
2023-02-10,DGC,lightgbm,2023-02-07,2023-02-10,3d,3,-0.01076142131979696,0.03280940674595258,0.04357082806574954,404.87986457323836
2023-02-13,DGC,lightgbm,2023-02-08,2023-02-13,3d,3,-0.05090311986863705,0.03063162370991905,0.0815347435785561,160.176318836583
2023-02-14,DGC,lightgbm,2023-02-09,2023-02-14,3d,3,-0.03987730061349681,0.018872466517749237,0.05874976713124605,147.32633911374054
2023-02-15,DGC,lightgbm,2023-02-10,2023-02-15,3d,3,-0.02545155993431858,0.04412525233116505,0.06957681226548362,273.3695398043838
2023-02-16,DGC,lightgbm,2023-02-13,2023-02-16,3d,3,0.02097750865051906,0.05562476092938324,0.03464725227886418,165.16380880151314
2023-02-17,DGC,lightgbm,2023-02-14,2023-02-17,3d,3,0.0,0.05094031604711607,0.05094031604711607,
2023-02-20,DGC,lightgbm,2023-02-15,2023-02-20,3d,3,0.02042965459140711,0.061844249924645364,0.041414595333238255,202.7180398373333
2023-02-21,DGC,lightgbm,2023-02-16,2023-02-21,3d,3,0.02435924592247396,0.0055989775797186244,0.018760268342755335,77.01497986621588
2023-02-22,DGC,lightgbm,2023-02-17,2023-02-22,3d,3,0.0,0.01979164704515991,0.01979164704515991,
2023-02-23,DGC,lightgbm,2023-02-20,2023-02-23,3d,3,-0.0493292053663571,-0.004981718241018625,0.044347487125338474,89.90107745701455
2023-02-24,DGC,lightgbm,2023-02-21,2023-02-24,3d,3,-0.07320099255583123,-0.013606389961076867,0.05959460259475437,81.41228761249498
