horizon,ticker,model_name,strategy_type,threshold,total_return,annualized_return,sharpe_ratio,sortino_ratio,max_drawdown,win_rate,profit_factor,number_of_trades,average_trade_return,exposure_ratio,turnover,candidate_signals,buy_signals,skipped_overlap_signals,positive_net_return_after_costs,beats_buy_and_hold,beats_naive_flat_strategy
5d,MWG,cart,model,0.0,0.02848632797807582,0.11504587321674409,0.5360407444991768,0.4370819294908107,-0.13687919054961184,0.3333333333333333,1.4894504716870203,3,0.011508409446011133,0.23076923076923078,4.0,60,10,7,True,False,True
5d,MWG,cart,model,0.005,0.02848632797807582,0.11504587321674409,0.5360407444991768,0.4370819294908107,-0.13687919054961184,0.3333333333333333,1.4894504716870203,3,0.011508409446011133,0.23076923076923078,4.0,60,10,7,True,False,True
5d,MWG,cart,model,0.01,0.02848632797807582,0.11504587321674409,0.5360407444991768,0.4370819294908107,-0.13687919054961184,0.3333333333333333,1.4894504716870203,3,0.011508409446011133,0.23076923076923078,4.0,60,10,7,True,False,True
5d,MWG,cart,model,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,60,0,0,False,False,False
5d,MWG,lightgbm,model,0.0,-0.00028675699747371386,-0.0011112763249555568,0.14649434578051201,0.13376739073464167,-0.13288288288288297,0.75,1.0520774095280494,4,0.000996260339148597,0.3076923076923077,6.0,60,11,7,False,False,False
5d,MWG,lightgbm,model,0.005,-0.00028675699747371386,-0.0011112763249555568,0.14649434578051201,0.13376739073464167,-0.13288288288288297,0.75,1.0520774095280494,4,0.000996260339148597,0.3076923076923077,6.0,60,10,6,False,False,False
5d,MWG,lightgbm,model,0.01,-0.04769265829876779,-0.17259036248084814,-0.6407947270443562,-0.49079392922122445,-0.13832938664777228,0.5,0.40795936217452594,2,-0.022651918057178755,0.15384615384615385,4.0,60,8,6,False,False,False
5d,MWG,lightgbm,model,0.02,0.04476404729668548,0.18503771555674864,0.8716350320901395,0.8502130755008263,-0.11978622029063979,1.0,10.0,2,0.022176981344262825,0.15384615384615385,4.0,60,6,4,True,False,True
5d,MWG,xgboost,model,0.0,0.031674059865903326,0.12850444234148695,0.5646283251326482,0.4172272270940312,-0.14082594749099564,0.6666666666666666,1.9725633705289836,3,0.010952325811430944,0.23076923076923078,6.0,60,9,6,True,False,True
5d,MWG,xgboost,model,0.005,0.031674059865903326,0.12850444234148695,0.5646283251326482,0.4172272270940312,-0.14082594749099564,0.6666666666666666,1.9725633705289836,3,0.010952325811430944,0.23076923076923078,6.0,60,9,6,True,False,True
5d,MWG,xgboost,model,0.01,0.08177294331156104,0.35626043196443047,1.4348489277086283,1.26575385082589,-0.11978622029064001,1.0,10.0,3,0.02659239082184735,0.23076923076923078,6.0,60,6,3,True,False,True
5d,MWG,xgboost,model,0.02,0.09882438802288318,0.44103932139175783,1.887354629367815,2.498979371295968,-0.08195560546313219,1.0,10.0,3,0.03201057986822561,0.23076923076923078,6.0,60,5,2,True,False,True
